edge_case,time,row,col,crs,team_icecon,bootstrap_icecon,edtl,visual_ice,melt_frac,thin_ice_frac,water_frac,land_frac,snow_frac,sea_ice_se,melt_se,thin_ice_se,water_se,cloud_qa_pixels,total_pixels,sensor,area,expected_area,coverage_frac,x,y,team_error,bootstrap_error
high_visual_ice,2024-04-23,295,124,b'',1.0,1.0,202317.95660204507,0.9312325599372352,0.0503047138399477,0.0152324278591317,0.0032302983636853,0.0,0.0,0.00012721720677,0.0001362773491609,8.949020093347884e-05,6.590802888602213e-05,0.0,710616.2375077632,Sentinel2,634949727.8591034,640032719.371582,0.9920582317768546,-737500.0,-1537500.0,-0.0687674400627648,-0.0687674400627648
high_visual_ice,2020-05-06,203,186,b'',1.0,1.0,81773.7654292783,0.9740805879832688,0.0154748763858537,0.0071021786432345,0.0033423569876427,0.0,0.0,7.342324755835533e-05,7.075174635860438e-05,5.393199045212983e-05,5.7480497654991704e-05,0.0,726068.034110949,Landsat8,648290712.9123803,653841810.9625244,0.9915100289441994,812500.0,762500.0,-0.025919412016731203,-0.025919412016731203
high_melt,2016-06-25,251,88,b'',0.748,0.959,38143.990422359406,0.1627873940702098,0.7367310956213706,0.0666578181701943,0.0338236921382252,0.0,0.0,0.0003379877215115,0.0004128417348444,0.0002447017647202,0.0001978668151234,0.0,711028.2383992677,Landsat8,635225820.4892592,640318302.3371582,0.9920469525401484,-1637500.0,-437500.0,-0.5852126059297902,-0.7962126059297902
high_melt,2013-06-15,318,62,b'',0.656,0.799,53601.40400654916,0.3141132987604345,0.5650477173351357,0.079997478765091,0.0408415051393386,0.0,0.0,0.0002248264156569,0.0002559395952927,0.0001875644822954,0.0001460737106537,0.0,652870.685457052,Landsat8,584548848.1632828,588036879.9502563,0.9940683451907496,-2287500.0,-2112500.0,-0.34188670123956555,-0.48488670123956557
high_water,2023-07-26,209,74,b'',0.0,0.0,42958.72752151242,0.0036892261522006,0.0340196318557397,0.0533008676604302,0.8976309094458235,0.0076726981663241,0.0036866667194816,7.101650672800214e-05,9.14463596044383e-05,0.0002154776163945,0.0002196013812582,0.0,703253.899083822,Sentinel2,623913361.9011546,628623783.3333893,0.9925067718449072,-1987500.0,612500.0,0.0036892261522006,0.0036892261522006
high_water,2018-07-11,346,163,b'',0.024,0.0,34328.199754691654,0.0069703152735349,0.0146455032325057,0.0233128296821301,0.622533635882583,0.0721155175520836,0.2604221983771626,4.77993970401936e-05,7.193813353560285e-05,9.695150713088766e-05,9.712862261505657e-05,0.0,821662.870192393,Sentinel2,596815273.2283276,600666547.5921249,0.9935883321965644,237500.0,-2812500.0,-0.0170296847264651,0.0069703152735349
high_thin_ice,2018-07-10,320,60,b'',0.0,0.0,101289.9039024854,0.0145531555339444,0.0376264269079186,0.7615793597668428,0.1862410577912941,0.0,0.0,0.0001494463498245,0.0002372314686965,0.0004984359469362,0.0004437392727265,0.0,641992.7860124409,Sentinel2,574923152.7867113,584849809.8162842,0.9830269979352628,-2337500.0,-2162500.0,0.0145531555339444,0.0145531555339444
high_thin_ice,2017-08-20,273,99,b'',0.0,0.0,13364.398085249362,0.0146668812008805,0.0571334217867814,0.9130600054416992,0.0151396915706389,0.0,0.0,0.0001423245472973,0.0002266484598905,0.0002928001019839,0.0001442635064502,0.0,711265.4119241772,Landsat8,635551451.1154785,640655136.5011597,0.992033646349026,-1362500.0,-987500.0,0.0146668812008805,0.0146668812008805
low_sea_ice_se,2022-07-22,225,247,b'',0.0,0.0,35274.39449417262,7.395937219163213e-05,8.822220675710183e-05,9.957908913583576e-05,0.9997382393319156,0.0,0.0,1.0370757036168473e-05,1.132660635765914e-05,1.2033515265034958e-05,1.9509211616884164e-05,0.0,687604.9676551038,Sentinel2,614910171.732425,619326418.8315315,0.9928692738355348,2337500.0,212500.0,7.395937219163213e-05,7.395937219163213e-05
high_sea_ice_se,2022-05-30,244,259,b'',0.148,0.0,41161.28928783209,0.0617997244823217,0.0732496451515499,0.1040646068624384,0.76088602350369,0.0,0.0,0.0002594630564711,0.00030483077968,0.0002986382449425,0.0004339380999808,0.0,674697.196036311,Sentinel2,603652728.7965283,607713385.2749901,0.9933181388186402,2637500.0,-262500.0,-0.0862002755176783,0.0617997244823217
low_melt_se,2022-07-18,134,72,b'',0.0,0.0,60185.14140953486,7.909831038089604e-05,9.340355472099046e-05,0.0001063998738848,0.9997210982610132,0.0,0.0,1.104529234701378e-05,1.2002479054926465e-05,1.2754228615939724e-05,2.069802491237037e-05,0.0,648252.2808318229,Sentinel2,580075180.7214831,583434669.7121277,0.9942418763144428,-2037500.0,2487500.0,7.909831038089604e-05,7.909831038089604e-05
high_melt_se,2022-06-28,258,107,b'',0.852,0.928,24219.679003404413,0.5676429617578569,0.3887893797848503,0.0251169238702779,0.0184507345870149,0.0,0.0,0.0003306080961827,0.0003588858831827,0.0001752549941154,0.0001571829610438,0.0,721440.1232503902,Sentinel2,644365644.7843612,649776995.2966309,0.9916719881567996,-1162500.0,-612500.0,-0.2843570382421431,-0.36035703824214316
low_water_se,2022-04-11,262,109,b'',1.0,0.947,6426.329122788097,0.2259005055278007,5.0348145614874406e-05,1.5270311166274738e-05,1.5270311166274738e-05,0.0,0.7740186057042518,6.6131502496116526e-06,5.217849908171762e-06,2.873805625952855e-06,2.873805625952855e-06,0.0,1848856.8079386028,Landsat8,644214603.4956932,649620610.0508423,0.991678209601869,-1112500.0,-712500.0,-0.7740994944721993,-0.7210994944721992
high_water_se,2022-08-06,172,159,b'',0.0,0.0,176702.27610879135,0.0223927336195261,0.0868968090664789,0.2597439432442194,0.6309665140697756,0.0,0.0,0.0001736297997461,0.0003169035151735,0.0003802940919308,0.0004183334558209,0.0,715363.8423827434,Sentinel2,639109623.2552626,644336486.3101654,0.9918879914983012,137500.0,1537500.0,0.0223927336195261,0.0223927336195261
low_thin_ice_se,2022-04-17,276,86,b'',1.0,0.982,52864.39137632599,0.999645581312226,0.0002213747918123,6.652194798071595e-05,6.652194798071595e-05,0.0,0.0,2.2476295095841e-05,1.7764999608423794e-05,9.739064211375713e-06,9.739064211375713e-06,0.0,701296.3988004518,Landsat9,626602540.3341953,631402526.3686218,0.9923978985924672,-1687500.0,-1062500.0,-0.0003544186877739719,0.017645581312226044
high_thin_ice_se,2022-08-05,180,173,b'',0.0,0.0,55753.36167741251,0.0191346487577496,0.0273187169773412,0.3646049759534609,0.5889416583114484,0.0,0.0,0.0001615568807596,0.0001920955009888,0.0005535652016589,0.0005664170309681,0.0,718799.3480696892,Landsat9,641955098.6027836,647281462.7174072,0.9917711777311486,487500.0,1337500.0,0.0191346487577496,0.0191346487577496
team_overest,2022-05-29,321,185,b'',0.904,0.947,47113.09490080454,0.3107765640518113,0.5812398000676284,0.0739622959652285,0.0340213399153317,0.0,0.0,0.0004272780942706,0.0004634102940762,0.0002326754315402,0.0002083363878248,0.0,688570.8770111157,Sentinel2,615691648.4701241,620133084.0108185,0.992837931638853,787500.0,-2187500.0,-0.5932234359481887,-0.6362234359481886
team_underest,2022-04-05,195,184,b'',0.924,0.964,30823.77210126107,0.9996283528689476,0.0002357824039503,6.793596119374819e-05,6.792876590846387e-05,0.0,0.0,2.2308289128658045e-05,1.7645924449464615e-05,9.687807337896006e-06,9.687303892750456e-06,0.0,723533.1284592872,Sentinel2,646131671.4829881,651605689.7474976,0.9915991859023964,762500.0,962500.0,0.07562835286894753,0.03562835286894761
boot_overest,2022-05-29,322,184,b'',0.932,0.972,39928.17593502696,0.3141794456918106,0.4978336557568166,0.1052978586098188,0.0826890399415539,0.0,0.0,0.0003857826575173,0.0004238564750826,0.0002576352896014,0.0002276453417835,0.0,687895.3864601296,Sentinel2,615154816.3975507,619578941.7780609,0.9928594645779698,762500.0,-2212500.0,-0.6178205543081894,-0.6578205543081894
boot_underest,2022-05-30,283,231,b'',0.0,0.0,76207.26824484376,0.0182071364657282,0.0427818860815079,0.9207368671571547,0.018274110295609,0.0,0.0,0.0001609698133987,0.0002430622021159,0.0003244678017689,0.0001610966463173,25.0,689672.2488459953,Landsat9,616597335.4024452,621068045.0098877,0.9928015784367537,1937500.0,-1237500.0,0.0182071364657282,0.0182071364657282
